prot_id,name,function,compartment,kind,pdb_id,biosynthesis,seq_length
MG_381_MONOMER,,MG-specific,c,monomer,,,218
MG_382_MONOMER,uridine kinase,metabolism,c,monomer,,,213
MG_382_TETRAMER,uridine kinase,metabolism,c,complex,,(4.0)MG_382_MONOMER',
MG_383_DIMER,NH(3)-dependent NAD+ synthetase; putative,metabolism,c,complex,,(2.0)MG_383_MONOMER',
MG_383_MONOMER,NH(3)-dependent NAD+ synthetase; putative,metabolism,c,monomer,,,248
MG_384_MONOMER,GTPase1 Obg,protein folding/maturation,c,monomer,,,433
MG_385_DIMER,glycerophosphoryl diester phosphodiesterase family protein,metabolism,c,complex,,(2.0)MG_385_MONOMER',
MG_385_MONOMER,glycerophosphoryl diester phosphodiesterase family protein,metabolism,c,monomer,,,236
MG_386_MONOMER,P200 protein,cytokinesis/motility,c,monomer,,,1616
MG_387_MONOMER,GTP-binding protein Era,protein folding/maturation,c,monomer,,,290
MG_388_MONOMER,Putative metalloprotease,RNA synthesis/maturation,c,monomer,,,154
MG_389_MONOMER,,MG-specific,e,monomer,,,127
MG_390_DIMER,toxin ABC transporter; ATP-binding/permease protein,protein transport/singaling,m,complex,,(2.0)MG_390_MONOMER',
MG_390_MONOMER,toxin ABC transporter; ATP-binding/permease protein,protein transport/singaling,c,monomer,,,660
MG_391_HEXAMER,cytosol aminopeptidase,protein folding/maturation,c,complex,,(6.0)MG_391_MONOMER',
MG_391_MONOMER,cytosol aminopeptidase,protein folding/maturation,c,monomer,,,447
MG_392_393_21MER,GroEL-GroES chaperonin complex,protein folding/maturation,c,complex,,(14.0)MG_392_MONOMER'+ '(7.0)MG_393_MONOMER',
MG_392_MONOMER,chaperonin,protein folding/maturation,c,monomer,,,543
MG_393_MONOMER,chaperonin; 10 kDa,protein folding/maturation,c,monomer,,,110
MG_394_MONOMER,serine hydroxymethyltransferase,metabolism,c,monomer,,,406
MG_394_TETRAMER,serine hydroxymethyltransferase,metabolism,c,complex,,(4.0)MG_394_MONOMER',
MG_395_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,5ZVJ,,524
MG_396_DIMER,ribose 5-phosphate isomerase B,metabolism,c,complex,6MU0,(2.0)MG_396_MONOMER',
MG_396_MONOMER,ribose 5-phosphate isomerase B,metabolism,c,monomer,6MU0,,152
MG_397_MONOMER,Cell division inhibitor,cytokinesis/motility,e,monomer,,,566
MG_398_399_400_401_402_403_404_405_22MER,H(+)-transporting two-sector ATPase,metabolism,m,complex,5T4O,(1.0)MG_398_MONOMER'+ '(3.0)MG_399_MONOMER'+ '(1.0)MG_400_MONOMER'+ '(3.0)MG_401_MONOMER'+ '(1.0)MG_402_MONOMER'+ '(2.0)MG_403_MONOMER'+ '(10.0)MG_404_MONOMER'+ '(1.0)MG_405_MONOMER',
MG_398_MONOMER,ATP synthase F1; epsilon subunit,metabolism,c,monomer,5T4O,,133
MG_399_MONOMER,ATP synthase F1; beta subunit,metabolism,c,monomer,5T4O,,476
MG_400_MONOMER,ATP synthase F1; gamma subunit,metabolism,c,monomer,5T4O,,279
MG_401_MONOMER,ATP synthase F1; alpha subunit,metabolism,c,monomer,5T4O,,518
MG_402_MONOMER,ATP synthase F1; delta subunit,metabolism,c,monomer,5T4O,,176
MG_403_MONOMER,ATP synthase F0; B subunit,metabolism,c,monomer,5T4O,,208
MG_404_MONOMER,ATP synthase F0; C subunit,metabolism,c,monomer,5T4O,,102
MG_405_MONOMER,ATP synthase F0; A subunit,metabolism,c,monomer,5T4O,,292
MG_406_MONOMER,,MG-specific,m,monomer,,,158
MG_407_DIMER,enolase,metabolism,c,complex,,(2.0)MG_407_MONOMER',
MG_407_MONOMER,enolase,metabolism,c,monomer,,,458
MG_408_MONOMER,methionine-S-sulfoxide reductase,protein folding/maturation,c,monomer,,,157
MG_409_DIMER,phosphate transport system regulatory protein PhoU; putative,protein transport/singaling,c,complex,,(2.0)MG_409_MONOMER',
MG_409_MONOMER,phosphate transport system regulatory protein PhoU; putative,protein transport/singaling,c,monomer,,,225
MG_410_411_412_PENTAMER,phosphate ABC transporter,protein transport/singaling,m,complex,,(2.0)MG_410_MONOMER'+ '(2.0)MG_411_MONOMER'+ '(1.0)MG_412_MONOMER',
MG_410_MONOMER,phosphate ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,,,329
MG_411_MONOMER,phosphate ABC transporter; permease protein PstA,protein transport/singaling,c,monomer,,,654
MG_412_MONOMER,phosphate ABC transporter; substrate-binding protein,protein transport/singaling,c,monomer,,,377
MG_414_MONOMER,,MG-specific,e,monomer,,,1036
MG_417_MONOMER,ribosomal protein S9,translation,c,monomer,,,132
MG_418_MONOMER,ribosomal protein L13,translation,c,monomer,,,146
MG_419_MONOMER,DNA polymerase III; subunit gamma and tau,DNA replication/maintenance,c,monomer,1JR3,,597
MG_421_MONOMER,excinuclease ABC; A subunit,DNA replication/maintenance,c,monomer,3UWX,,954
MG_422_MONOMER,,MG-specific,c,monomer,,,835
MG_423_MONOMER,metallo-beta-lactamase superfamily protein,RNA synthesis/maturation,c,monomer,,,561
MG_424_MONOMER,ribosomal protein S15,translation,c,monomer,,,86
MG_425_DIMER,ATP-dependent RNA helicase,RNA synthesis/maturation,c,complex,,(2.0)MG_425_MONOMER',
MG_425_MONOMER,ATP-dependent RNA helicase,RNA synthesis/maturation,c,monomer,,,449
MG_426_MONOMER,ribosomal protein L28,translation,c,monomer,,,64
MG_427_DIMER,osmotically inducible peroxidase,host cell interaction,c,complex,,(2.0)MG_427_MONOMER',
MG_427_DIMER_ox,oxidized osmotically inducible peroxidase,host cell interaction,c,complex,,(1.0)MG_427_DIMER'+ '(4.0)H',
MG_427_MONOMER,osmotically inducible peroxidase,host cell interaction,c,monomer,,,141
MG_428_DIMER,LuxR bacterial regulatory protein; putative,transcription,c,complex,,(2.0)MG_428_MONOMER',
MG_428_MONOMER,LuxR bacterial regulatory protein; putative,transcription,c,monomer,,,171
MG_429_MONOMER,PTS system; E1,metabolism,c,monomer,2XDF,,572
MG_430_MONOMER,2;3-bisphosphoglycerate-independent phosphoglycerate mutase,metabolism,c,monomer,,,507
MG_431_DIMER,triosephosphate isomerase,metabolism,c,complex,,(2.0)MG_431_MONOMER',
MG_431_MONOMER,triosephosphate isomerase,metabolism,c,monomer,,,244
MG_432_MONOMER,membrane protein; putative,protein transport/singaling,m,monomer,,,398
MG_433_DIMER,translation elongation factor Ts,translation,c,complex,,(2.0)MG_433_MONOMER',
MG_433_MONOMER,translation elongation factor Ts,translation,c,monomer,,,298
MG_434_HEXAMER,uridylate kinase,metabolism,c,complex,,(6.0)MG_434_MONOMER',
MG_434_MONOMER,uridylate kinase,metabolism,c,monomer,,,243
MG_435_MONOMER,ribosome recycling factor,translation,c,monomer,,,183
MG_437_DIMER,phosphatidate cytidylyltransferase,metabolism,m,complex,,(2.0)MG_437_MONOMER',
MG_437_MONOMER,phosphatidate cytidylyltransferase,metabolism,c,monomer,,,397
MG_438_MONOMER,type I restriction modification DNA specificity domain protein,DNA replication/maintenance,c,monomer,1YDX,,383
MG_439_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,,,272
MG_440_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,,,258
MG_441_MONOMER,,MG-specific,m,monomer,,,136
MG_442_MONOMER,ribosomal biogenesis GTPase,protein folding/maturation,c,monomer,,,270
MG_443_MONOMER,membrane protein; putative,protein transport/singaling,m,monomer,4W6V,,395
MG_444_MONOMER,ribosomal protein L19,translation,c,monomer,,,119
MG_445_DIMER,tRNA (guanine-N1)-methyltransferase,RNA synthesis/maturation,c,complex,,(2.0)MG_445_MONOMER',
MG_445_MONOMER,tRNA (guanine-N1)-methyltransferase,RNA synthesis/maturation,c,monomer,,,231
MG_446_MONOMER,ribosomal protein S16,translation,c,monomer,,,95
MG_447_MONOMER,multidrug efflux pump,protein transport/singaling,m,monomer,,,547
MG_448_MONOMER,methionine-R-sulfoxide reductase,protein folding/maturation,c,monomer,,,150
MG_449_MONOMER,conserved hypothetical protein; authentic frameshift,uncharacterized,c,monomer,,,228
MG_450_MONOMER,degV family protein,uncharacterized,c,monomer,,,290
MG_451_DIMER,translation elongation factor Tu,translation,c,complex,,(2.0)MG_451_MONOMER',
MG_451_MONOMER,translation elongation factor Tu,translation,c,monomer,,,394
MG_452_MONOMER,membrane protein; putative,protein transport/singaling,m,monomer,,,261
MG_453_MONOMER,UTP-glucose-1-phosphate uridylyltransferase,metabolism,c,monomer,,,292
MG_453_TETRAMER,UTP-glucose-1-phosphate uridylyltransferase,metabolism,c,complex,,(4.0)MG_453_MONOMER',
MG_454_DIMER,thiol-dependent peroxidase,host cell interaction,c,complex,,(2.0)MG_454_MONOMER',
MG_454_DIMER_ox,oxidized thiol-dependent peroxidase,host cell interaction,c,complex,,(1.0)MG_454_DIMER'+ '(4.0)H',
MG_454_MONOMER,thiol-dependent peroxidase,host cell interaction,c,monomer,,,155
MG_455_DIMER,tyrosyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_455_MONOMER',
MG_455_MONOMER,tyrosyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,396
MG_456_MONOMER,,MG-specific,m,monomer,6B85,,334
MG_457_HEXAMER,ATP-dependent metalloprotease FtsH,protein folding/maturation,m,complex,,(6.0)MG_457_MONOMER',
MG_457_MONOMER,ATP-dependent metalloprotease FtsH,protein folding/maturation,c,monomer,,,702
MG_458_MONOMER,hypoxanthine phosphoribosyltransferase,metabolism,c,monomer,,,175
MG_458_TETRAMER,hypoxanthine phosphoribosyltransferase,metabolism,c,complex,,(4.0)MG_458_MONOMER',
MG_459_MONOMER,putative 2-C-methyl-D-erythritol-2;4-cyclodiphosphate synthase,metabolism,c,monomer,,,169
MG_460_MONOMER,L-lactate dehydrogenase/malate dehydrogenase,metabolism,c,monomer,,,312
MG_460_TETRAMER,L-lactate dehydrogenase/malate dehydrogenase,metabolism,c,complex,,(4.0)MG_460_MONOMER',
MG_461_MONOMER,HD domain protein,metabolism,c,monomer,,,425
MG_462_MONOMER,glutamyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,484
MG_463_MONOMER,dimethyladenosine transferase,RNA synthesis/maturation,c,monomer,,,259
MG_464_MONOMER,inner-membrane protein insertion factor,protein folding/maturation,c,monomer,5MG3,,385
MG_465_MONOMER,ribonuclease P protein component,RNA synthesis/maturation,c,monomer,6D1R,,128
MG_466_MONOMER,ribosomal protein L34,translation,c,monomer,,,48
MG_467_468_526_TETRAMER,salivaricin A ABC transporter,protein transport/singaling,m,complex,5XU1,(1.0)MG_467_MONOMER'+ '(2.0)MG_468_MONOMER'+ '(1.0)MG_526_MONOMER',
MG_467_MONOMER,salivaricin A ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,5XU1,,311
MG_468_MONOMER,salivaricin A ABC transporter; permease protein,protein transport/singaling,c,monomer,5XU1,,1783
MG_469_1MER_ADP,DnaA-ADP,DNA replication/maintenance,c,complex,3R8F,(1.0)ADP'+ '(1.0)MG_469_MONOMER',
MG_469_1MER_ATP,DnaA-ATP,DNA replication/maintenance,c,complex,3R8F,(1.0)ATP'+ '(1.0)MG_469_MONOMER',
MG_469_2MER_1ATP_ADP,DnaA 2mer-(1)ATP-(1)ADP,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ADP'+ '(1.0)MG_469_1MER_ATP',
MG_469_2MER_ATP,DnaA-ATP 2mer,DNA replication/maintenance,c,complex,,(2.0)MG_469_1MER_ATP',
MG_469_3MER_2ATP_ADP,DnaA 3mer-(2)ATP-(1)ADP,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ADP'+ '(1.0)MG_469_2MER_ATP',
MG_469_3MER_ATP,DnaA-ATP 3mer,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ATP'+ '(1.0)MG_469_2MER_ATP',
MG_469_4MER_3ATP_ADP,DnaA 4mer-(3)ATP-(1)ADP,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ADP'+ '(1.0)MG_469_3MER_ATP',
MG_469_4MER_ATP,DnaA-ATP 4mer,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ATP'+ '(1.0)MG_469_3MER_ATP',
MG_469_5MER_4ATP_ADP,DnaA 5mer-(4)ATP-(1)ADP,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ADP'+ '(1.0)MG_469_4MER_ATP',
MG_469_5MER_ATP,DnaA-ATP 5mer,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ATP'+ '(1.0)MG_469_4MER_ATP',
MG_469_6MER_5ATP_ADP,DnaA 6mer-(5)ATP-(1)ADP,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ADP'+ '(1.0)MG_469_5MER_ATP',
MG_469_6MER_ATP,DnaA-ATP 6mer,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ATP'+ '(1.0)MG_469_5MER_ATP',
MG_469_7MER_6ATP_ADP,DnaA 7mer-(6)ATP-(1)ADP,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ADP'+ '(1.0)MG_469_6MER_ATP',
MG_469_7MER_ATP,DnaA-ATP 7mer,DNA replication/maintenance,c,complex,,(1.0)MG_469_1MER_ATP'+ '(1.0)MG_469_6MER_ATP',
MG_469_MONOMER,chromosomal replication initiator protein DnaA,DNA replication/maintenance,c,monomer,,,437
MG_470_MONOMER,CobQ/CobB/MinD/ParA nucleotide binding domain,cytokinesis/motility,c,monomer,,,269
MG_473_MONOMER,ribosomal protein L33 type 2,translation,c,monomer,,,48
MG_474_MONOMER,protein export/possible structural role,protein transport/singaling,m,monomer,,,127
MG_476_MONOMER,preprotein translocase; SecG subunit,protein transport/singaling,c,monomer,5MG3,,77
MG_477_MONOMER,transcription termination factor,transcription,c,monomer,,,90
MG_478_MONOMER,,MG-specific,m,monomer,,,154
MG_480_MONOMER,structural; putative Cell cycle; putative,MG-specific,c,monomer,,,219
MG_481_MONOMER,30S ribosomal protein S21,translation,c,monomer,,,62
MG_482_DIMER,holo-(acyl-carrier-protein) synthase,metabolism,c,complex,,(2.0)MG_482_MONOMER',
MG_482_MONOMER,holo-(acyl-carrier-protein) synthase,metabolism,c,monomer,,,114
MG_491_MONOMER,cell adhesion; homology to dksA; RNA polymerase binding; putative,cytokinesis/motility,c,monomer,4XNG,,346
MG_494_MONOMER,cell-division inhibitor; putative protease; putative,cytokinesis/motility,c,monomer,,,150
MG_498_MONOMER,formamidopyrimidine-DNA glycosylase,DNA replication/maintenance,c,monomer,,,284
MG_505_MONOMER,putative holliday junction resolvase,DNA replication/maintenance,c,monomer,,,138
MG_515_MONOMER,,MG-specific,m,monomer,3X29,,269
MG_516_MONOMER,UPF0154,uncharacterized,c,monomer,,,73
MG_517_MONOMER,glycosyl transferase; group 2 family protein,metabolism,c,monomer,,,341
MG_521_MONOMER,membrane protein; putative,protein transport/singaling,m,monomer,,,224
MG_522_MONOMER,ribosomal protein S20,translation,c,monomer,,,88
MG_524_MONOMER,,uncharacterized,m,monomer,,,149
MG_525_MONOMER,,MG-specific,e,monomer,,,664
MG_526_MONOMER,salivaricin A ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,5XU1,,284
REPLISOME,Replisome,DNA replication/maintenance,c,complex,,(2.0)DNA_POLYMERASE_CORE'+ '(1.0)DNA_POLYMERASE_GAMMA_COMPLEX'+ '(4.0)MG_001_MONOMER'+ '(1.0)MG_094_HEXAMER'+ '(1.0)MG_250_MONOMER',
RIBOSOME_30S,30S ribosomal subunit,translation,c,complex,,(1.0)MGrrnA16S'+ '(1.0)MG_070_MONOMER'+ '(1.0)MG_087_MONOMER'+ '(1.0)MG_088_MONOMER'+ '(1.0)MG_090_MONOMER'+ '(1.0)MG_092_MONOMER'+ '(1.0)MG_150_MONOMER'+ '(1.0)MG_155_MONOMER'+ '(1.0)MG_157_MONOMER'+ '(1.0)MG_160_MONOMER'+ '(1.0)MG_164_MONOMER'+ '(1.0)MG_165_MONOMER'+ '(1.0)MG_168_MONOMER'+ '(1.0)MG_175_MONOMER'+ '(1.0)MG_176_MONOMER'+ '(1.0)MG_311_MONOMER'+ '(1.0)MG_417_MONOMER'+ '(1.0)MG_424_MONOMER'+ '(1.0)MG_446_MONOMER'+ '(1.0)MG_481_MONOMER'+ '(1.0)MG_522_MONOMER',
RIBOSOME_30S_IF3,30S ribosomal subunit - translation initiation factor IF-3 complex,translation,c,complex,5LMO,(1.0)MG_196_MONOMER'+ '(1.0)RIBOSOME_30S',
RIBOSOME_50S,50S ribosomal subunit,translation,c,complex,,(1.0)MGrrnA23S'+ '(1.0)MGrrnA5S'+ '(1.0)MG_081_MONOMER'+ '(1.0)MG_082_MONOMER'+ '(1.0)MG_093_MONOMER'+ '(1.0)MG_151_MONOMER'+ '(1.0)MG_152_MONOMER'+ '(1.0)MG_153_MONOMER'+ '(1.0)MG_154_MONOMER'+ '(1.0)MG_156_MONOMER'+ '(1.0)MG_158_MONOMER'+ '(1.0)MG_159_MONOMER'+ '(1.0)MG_161_MONOMER'+ '(1.0)MG_162_MONOMER'+ '(1.0)MG_163_MONOMER'+ '(1.0)MG_166_MONOMER'+ '(1.0)MG_167_MONOMER'+ '(1.0)MG_169_MONOMER'+ '(1.0)MG_174_MONOMER'+ '(1.0)MG_178_MONOMER'+ '(1.0)MG_197_MONOMER'+ '(1.0)MG_198_MONOMER'+ '(1.0)MG_232_MONOMER'+ '(1.0)MG_234_MONOMER'+ '(1.0)MG_257_MONOMER'+ '(1.0)MG_325_MONOMER'+ '(1.0)MG_361_MONOMER'+ '(1.0)MG_362_MONOMER'+ '(1.0)MG_363_MONOMER'+ '(1.0)MG_418_MONOMER'+ '(1.0)MG_426_MONOMER'+ '(1.0)MG_444_MONOMER'+ '(1.0)MG_466_MONOMER'+ '(1.0)MG_473_MONOMER',
RIBOSOME_70S,70S ribosome,translation,c,complex,,(1.0)RIBOSOME_30S'+ '(1.0)RIBOSOME_50S',
RNA_POLYMERASE,DNA-directed RNA polymerase,transcription,c,complex,3IYD,(1.0)MG_022_MONOMER'+ '(2.0)MG_177_MONOMER'+ '(1.0)MG_340_MONOMER'+ '(1.0)MG_341_MONOMER',
RNA_POLYMERASE_HOLOENZYME,DNA-directed RNA polymerase holoenzyme,transcription,c,complex,3IYD,(1.0)MG_249_MONOMER'+ '(1.0)RNA_POLYMERASE',
